head	relation	tail	head_cui	tail_cui	source
Entity0	associated_with	Entity1824	C1000000	C1000001	synthetic
Entity0	activates	Entity4506	C1000002	C1000003	synthetic
Entity0	expressed_in	Entity3657	C1000004	C1000005	synthetic
Entity0	precedes	Entity1679	C1000006	C1000007	synthetic
Entity0	follows	Entity1424	C1000008	C1000009	synthetic
Entity1	causes	Entity6912	C1000010	C1000011	synthetic
Entity1	treats	Entity488	C1000012	C1000013	synthetic
Entity1	activates	Entity3582	C1000014	C1000015	synthetic
Entity1	part_of	Entity8279	C1000016	C1000017	synthetic
Entity1	precedes	Entity434	C1000018	C1000019	synthetic
Entity2	precedes	Entity3257	C1000020	C1000021	synthetic
Entity2	activates	Entity6873	C1000022	C1000023	synthetic
Entity2	follows	Entity7359	C1000024	C1000025	synthetic
Entity2	associated_with	Entity4557	C1000026	C1000027	synthetic
Entity2	derived_from	Entity2615	C1000028	C1000029	synthetic
Entity3	binds_to	Entity5574	C1000030	C1000031	synthetic
Entity3	inhibits	Entity2547	C1000032	C1000033	synthetic
Entity3	interacts_with	Entity5514	C1000034	C1000035	synthetic
Entity3	located_in	Entity1519	C1000036	C1000037	synthetic
Entity3	has_phenotype	Entity1584	C1000038	C1000039	synthetic
Entity4	part_of	Entity5635	C1000040	C1000041	synthetic
Entity4	causes	Entity4333	C1000042	C1000043	synthetic
Entity4	precedes	Entity7527	C1000044	C1000045	synthetic
Entity4	located_in	Entity2045	C1000046	C1000047	synthetic
Entity4	precedes	Entity1291	C1000048	C1000049	synthetic
Entity5	part_of	Entity4803	C1000050	C1000051	synthetic
Entity5	follows	Entity5925	C1000052	C1000053	synthetic
Entity5	treats	Entity3150	C1000054	C1000055	synthetic
Entity5	activates	Entity750	C1000056	C1000057	synthetic
Entity5	treats	Entity4741	C1000058	C1000059	synthetic
Entity6	interacts_with	Entity3814	C1000060	C1000061	synthetic
Entity6	binds_to	Entity6227	C1000062	C1000063	synthetic
Entity6	has_phenotype	Entity7428	C1000064	C1000065	synthetic
Entity6	has_phenotype	Entity2664	C1000066	C1000067	synthetic
Entity6	inhibits	Entity5820	C1000068	C1000069	synthetic
Entity7	treats	Entity4374	C1000070	C1000071	synthetic
Entity7	mutated_in	Entity9980	C1000072	C1000073	synthetic
Entity7	activates	Entity8751	C1000074	C1000075	synthetic
Entity7	similar_to	Entity2677	C1000076	C1000077	synthetic
Entity7	binds_to	Entity6216	C1000078	C1000079	synthetic
Entity8	activates	Entity9125	C1000080	C1000081	synthetic
Entity8	causes	Entity5313	C1000082	C1000083	synthetic
Entity8	causes	Entity3752	C1000084	C1000085	synthetic
Entity8	located_in	Entity5168	C1000086	C1000087	synthetic
Entity8	treats	Entity4386	C1000088	C1000089	synthetic
Entity9	follows	Entity3456	C1000090	C1000091	synthetic
Entity9	inhibits	Entity5155	C1000092	C1000093	synthetic
Entity9	located_in	Entity8179	C1000094	C1000095	synthetic
Entity9	expressed_in	Entity7517	C1000096	C1000097	synthetic
Entity9	expressed_in	Entity4339	C1000098	C1000099	synthetic
Entity10	precedes	Entity4040	C1000100	C1000101	synthetic
Entity10	binds_to	Entity8830	C1000102	C1000103	synthetic
Entity10	derived_from	Entity9577	C1000104	C1000105	synthetic
Entity10	located_in	Entity9560	C1000106	C1000107	synthetic
Entity10	activates	Entity5930	C1000108	C1000109	synthetic
Entity11	correlated_with	Entity2266	C1000110	C1000111	synthetic
Entity11	treats	Entity8085	C1000112	C1000113	synthetic
Entity11	interacts_with	Entity771	C1000114	C1000115	synthetic
Entity11	mutated_in	Entity2504	C1000116	C1000117	synthetic
Entity11	part_of	Entity6916	C1000118	C1000119	synthetic
Entity12	located_in	Entity1040	C1000120	C1000121	synthetic
Entity12	part_of	Entity6252	C1000122	C1000123	synthetic
Entity12	correlated_with	Entity7668	C1000124	C1000125	synthetic
Entity12	precedes	Entity4119	C1000126	C1000127	synthetic
Entity12	interacts_with	Entity188	C1000128	C1000129	synthetic
Entity13	binds_to	Entity8797	C1000130	C1000131	synthetic
Entity13	interacts_with	Entity5573	C1000132	C1000133	synthetic
Entity13	derived_from	Entity4808	C1000134	C1000135	synthetic
Entity13	similar_to	Entity2591	C1000136	C1000137	synthetic
Entity13	binds_to	Entity53	C1000138	C1000139	synthetic
Entity14	mutated_in	Entity8201	C1000140	C1000141	synthetic
Entity14	interacts_with	Entity8317	C1000142	C1000143	synthetic
Entity14	correlated_with	Entity4889	C1000144	C1000145	synthetic
Entity14	inhibits	Entity9977	C1000146	C1000147	synthetic
Entity14	has_phenotype	Entity2504	C1000148	C1000149	synthetic
Entity15	precedes	Entity2646	C1000150	C1000151	synthetic
Entity15	associated_with	Entity8689	C1000152	C1000153	synthetic
Entity15	belongs_to_pathway	Entity9813	C1000154	C1000155	synthetic
Entity15	associated_with	Entity8005	C1000156	C1000157	synthetic
Entity15	has_phenotype	Entity1832	C1000158	C1000159	synthetic
Entity16	activates	Entity5038	C1000160	C1000161	synthetic
Entity16	activates	Entity949	C1000162	C1000163	synthetic
Entity16	treats	Entity9295	C1000164	C1000165	synthetic
Entity16	co_occurs_with	Entity1403	C1000166	C1000167	synthetic
Entity16	precedes	Entity1133	C1000168	C1000169	synthetic
Entity17	expressed_in	Entity2060	C1000170	C1000171	synthetic
Entity17	precedes	Entity7787	C1000172	C1000173	synthetic
Entity17	binds_to	Entity2705	C1000174	C1000175	synthetic
Entity17	part_of	Entity8645	C1000176	C1000177	synthetic
Entity17	inhibits	Entity6932	C1000178	C1000179	synthetic
Entity18	inhibits	Entity8835	C1000180	C1000181	synthetic
Entity18	located_in	Entity5107	C1000182	C1000183	synthetic
Entity18	similar_to	Entity6118	C1000184	C1000185	synthetic
Entity18	similar_to	Entity8479	C1000186	C1000187	synthetic
Entity18	activates	Entity1982	C1000188	C1000189	synthetic
Entity19	treats	Entity3681	C1000190	C1000191	synthetic
Entity19	associated_with	Entity5539	C1000192	C1000193	synthetic
Entity19	precedes	Entity9638	C1000194	C1000195	synthetic
Entity19	follows	Entity3770	C1000196	C1000197	synthetic
Entity19	associated_with	Entity3608	C1000198	C1000199	synthetic
Entity20	causes	Entity1163	C1000200	C1000201	synthetic
Entity20	treats	Entity3750	C1000202	C1000203	synthetic
Entity20	belongs_to_pathway	Entity514	C1000204	C1000205	synthetic
Entity20	correlated_with	Entity1160	C1000206	C1000207	synthetic
Entity20	binds_to	Entity3899	C1000208	C1000209	synthetic
Entity21	inhibits	Entity7953	C1000210	C1000211	synthetic
Entity21	expressed_in	Entity8834	C1000212	C1000213	synthetic
Entity21	follows	Entity9355	C1000214	C1000215	synthetic
Entity21	activates	Entity7744	C1000216	C1000217	synthetic
Entity21	derived_from	Entity7749	C1000218	C1000219	synthetic
Entity22	interacts_with	Entity3119	C1000220	C1000221	synthetic
Entity22	derived_from	Entity1588	C1000222	C1000223	synthetic
Entity22	derived_from	Entity5804	C1000224	C1000225	synthetic
Entity22	similar_to	Entity6735	C1000226	C1000227	synthetic
Entity22	interacts_with	Entity887	C1000228	C1000229	synthetic
Entity23	located_in	Entity993	C1000230	C1000231	synthetic
Entity23	interacts_with	Entity5559	C1000232	C1000233	synthetic
Entity23	inhibits	Entity4073	C1000234	C1000235	synthetic
Entity23	precedes	Entity3116	C1000236	C1000237	synthetic
Entity23	expressed_in	Entity7350	C1000238	C1000239	synthetic
Entity24	mutated_in	Entity6912	C1000240	C1000241	synthetic
Entity24	similar_to	Entity4563	C1000242	C1000243	synthetic
Entity24	treats	Entity4092	C1000244	C1000245	synthetic
Entity24	precedes	Entity7260	C1000246	C1000247	synthetic
Entity24	causes	Entity1604	C1000248	C1000249	synthetic
Entity25	associated_with	Entity8856	C1000250	C1000251	synthetic
Entity25	activates	Entity1528	C1000252	C1000253	synthetic
Entity25	derived_from	Entity2724	C1000254	C1000255	synthetic
Entity25	co_occurs_with	Entity7956	C1000256	C1000257	synthetic
Entity25	located_in	Entity3502	C1000258	C1000259	synthetic
Entity26	mutated_in	Entity960	C1000260	C1000261	synthetic
Entity26	associated_with	Entity6209	C1000262	C1000263	synthetic
Entity26	binds_to	Entity6396	C1000264	C1000265	synthetic
Entity26	regulates	Entity7454	C1000266	C1000267	synthetic
Entity26	precedes	Entity6930	C1000268	C1000269	synthetic
Entity27	expressed_in	Entity7973	C1000270	C1000271	synthetic
Entity27	regulates	Entity3111	C1000272	C1000273	synthetic
Entity27	causes	Entity3566	C1000274	C1000275	synthetic
Entity27	precedes	Entity9489	C1000276	C1000277	synthetic
Entity27	belongs_to_pathway	Entity998	C1000278	C1000279	synthetic
Entity28	causes	Entity936	C1000280	C1000281	synthetic
Entity28	co_occurs_with	Entity9571	C1000282	C1000283	synthetic
Entity28	correlated_with	Entity8238	C1000284	C1000285	synthetic
Entity28	causes	Entity2579	C1000286	C1000287	synthetic
Entity28	treats	Entity8320	C1000288	C1000289	synthetic
Entity29	treats	Entity3044	C1000290	C1000291	synthetic
